Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type
10685,"B Efron","Bootstrap methods: another look at the jackknife",1979,"The annals of Statistics","JSTOR","http://www.jstor.org/stable/2958830","http://scholar.google.com/scholar?cites=13902989659799134313&as_sdt=2005&sciodt=0,5&hl=en&num=20",1,"2014-08-04",""
26773,"B Efron, RJ Tibshirani","An introduction to the bootstrap",1994,"","books.google.com","","http://scholar.google.com/scholar?cites=14105551085632142720&as_sdt=2005&sciodt=0,5&hl=en&num=20",2,"2014-08-04","BOOK"
7216,"B Efron, B Efron","The jackknife, the bootstrap and other resampling plans",1982,"","SIAM","","http://scholar.google.com/scholar?cites=12577715532718471799&as_sdt=2005&sciodt=0,5&hl=en&num=20",3,"2014-08-04","BOOK"
4294,"B Efron, T Hastie, I Johnstone…","Least angle regression",2004,"The Annals of …","projecteuclid.org","http://projecteuclid.org/euclid.aos/1083178935","http://scholar.google.com/scholar?cites=13118771729780068256&as_sdt=2005&sciodt=0,5&hl=en&num=20",4,"2014-08-04",""
3704,"B Efron, R Tibshirani","Bootstrap methods for standard errors, confidence intervals, and other measures of statistical accuracy",1986,"Statistical science","JSTOR","http://www.jstor.org/stable/2245500","http://scholar.google.com/scholar?cites=10942358870726911931&as_sdt=2005&sciodt=0,5&hl=en&num=20",5,"2014-08-04",""
2719,"B Efron, G Gong","A leisurely look at the bootstrap, the jackknife, and cross-validation",1983,"The American Statistician","Taylor & Francis","http://www.tandfonline.com/doi/abs/10.1080/00031305.1983.10483087","http://scholar.google.com/scholar?cites=2684794930944220606&as_sdt=2005&sciodt=0,5&hl=en&num=20",6,"2014-08-04",""
1821,"B Efron","Better bootstrap confidence intervals",1987,"Journal of the American statistical Association","Taylor & Francis","http://www.tandfonline.com/doi/abs/10.1080/01621459.1987.10478410","http://scholar.google.com/scholar?cites=15329092696534849672&as_sdt=2005&sciodt=0,5&hl=en&num=20",7,"2014-08-04",""
1694,"B Efron","Estimating the error rate of a prediction rule: improvement on cross-validation",1983,"Journal of the American Statistical Association","amstat.tandfonline.com","http://amstat.tandfonline.com/doi/abs/10.1080/01621459.1983.10477973","http://scholar.google.com/scholar?cites=335454011178377283&as_sdt=2005&sciodt=0,5&hl=en&num=20",8,"2014-08-04",""
1374,"B Efron, R Tibshirani, JD Storey…","Empirical Bayes analysis of a microarray experiment",2001,"Journal of the American …","Taylor & Francis","http://www.tandfonline.com/doi/abs/10.1198/016214501753382129","http://scholar.google.com/scholar?cites=12957342521212088130&as_sdt=2005&sciodt=0,5&hl=en&num=20",9,"2014-08-04",""
1131,"P Diaconis, B Efron","Computer-intensive methods in statistics",1983,"Scientific American","statistics.stanford.edu","","http://scholar.google.com/scholar?cites=14558347648956197403&as_sdt=2005&sciodt=0,5&hl=en&num=20",10,"2014-08-04","PDF"
